Date,Type,Number,Payee,Memo,Bank,Payment,Deposit,Balance,Status
"Jun 8, 2026",Transfer,,Transfer Operating → Payroll,,Payroll,0,255000,3763600,Posted
"Jun 13, 2026",Check,#1111,Staff payroll — 1st half June,Semi-monthly payroll,Payroll,126400,0,3637200,Cleared
"Jun 22, 2026",Check,#4412,Meralco,June warehouse power,Operating,19880,0,3617320,Cleared
"Jun 27, 2026",Check,#1112,Staff payroll — 2nd half June,Semi-monthly payroll,Payroll,126400,0,3490920,Cleared
"Jun 30, 2026",Receipt,Chk 1046,Laguna Foods Inc.,Payment INV-2026-006,Operating,0,179200,3670120,Posted
"Jul 1, 2026",Check,#4413,Ayala Land — Warehouse rent,July warehouse,Operating,85000,0,3585120,Cleared
"Jul 8, 2026",Transfer,,Transfer Operating → Payroll,,Operating,255000,0,3330120,Posted
"Jul 8, 2026",Transfer,,Transfer Operating → Payroll,,Payroll,0,255000,3585120,Posted
"Jul 8, 2026",Receipt,Chk 5522,Davao Harvest Co.,Payment INV-2026-023,Reserve,0,156000,3741120,Posted
"Jul 9, 2026",Vendor Pay,BILL-2026-011,Delta Freight Lines,Southbound hauling — Davao June,Reserve,24800,0,3716320,Paid
"Jul 9, 2026",Receipt,Chk 2204,Cebu Marine Supply,Payment INV-2026-015,Reserve,0,91800,3808120,Posted
"Jul 11, 2026",Vendor Pay,BILL-2026-007,Santos & Co. CPAs,Q2 bookkeeping retainer,Operating,22000,0,3786120,Paid
"Jul 13, 2026",Check,#1113,Staff payroll — 1st half July,Semi-monthly payroll,Payroll,126400,0,3659720,Cleared
"Jul 22, 2026",Check,#4414,Meralco,July warehouse power,Operating,20050,0,3639670,Cleared
"Jul 23, 2026",Cash Sale,RCPT-2026-022,Walk-in — Harbor stall,Same-day cash.,Operating,0,10600,3650270,Posted
"Jul 27, 2026",Check,#1114,Staff payroll — 2nd half July,Semi-monthly payroll,Payroll,126400,0,3523870,Cleared
"Jul 30, 2026",Receipt,RCPT-2026-007,Laguna Foods Inc.,Payment INV-2026-007,Operating,0,194000,3717870,Posted
"Aug 1, 2026",Check,#4415,Ayala Land — Warehouse rent,August warehouse,Operating,85000,0,3632870,Cleared
"Aug 8, 2026",Transfer,,Transfer Operating → Payroll,,Operating,255000,0,3377870,Posted
"Aug 8, 2026",Transfer,,Transfer Operating → Payroll,,Payroll,0,255000,3632870,Posted
"Aug 12, 2026",Receipt,Chk 3312,Metro Clinic Group,Payment INV-2026-020,Operating,0,96000,3728870,Posted
"Aug 13, 2026",Check,#1115,Staff payroll — 1st half August,Semi-monthly payroll,Payroll,126400,0,3602470,Cleared
"Aug 14, 2026",Vendor Pay,BILL-2026-003,Harbor Packaging Co.,Cartons and tape — July,Operating,15400,0,3587070,Paid
"Aug 18, 2026",Receipt,RCPT-2026-017,Davao Harvest Co.,Payment INV-2026-024,Reserve,0,49650,3636720,Posted
"Aug 21, 2026",Cash Sale,RCPT-2026-023,Walk-in — Harbor stall,Same-day cash.,Operating,0,12400,3649120,Posted
"Aug 22, 2026",Check,#4416,Meralco,August warehouse power,Operating,18640,0,3630480,Cleared
"Aug 27, 2026",Check,#1116,Staff payroll — 2nd half August,Semi-monthly payroll,Payroll,126400,0,3504080,Cleared
"Aug 27, 2026",Cash Sale,Chk 2208,Cebu Marine Supply,Paid at the counter.,Safekeeping,0,8750,3512830,Posted
"Sep 1, 2026",Check,#4417,Ayala Land — Warehouse rent,September warehouse,Operating,85000,0,3427830,Pending
"Sep 8, 2026",Transfer,,Transfer Operating → Payroll,,Operating,255000,0,3172830,Posted
"Sep 8, 2026",Transfer,,Transfer Operating → Payroll,,Payroll,0,255000,3427830,Posted
"Sep 13, 2026",Check,#1117,Staff payroll — 1st half September,Semi-monthly payroll,Payroll,126400,0,3301430,Pending
"Sep 22, 2026",Check,#4418,Meralco,September warehouse power,Operating,19220,0,3282210,Pending
"Sep 27, 2026",Check,#1118,Staff payroll — 2nd half September,Semi-monthly payroll,Payroll,126400,0,3155810,Pending
"Oct 1, 2026",Check,#4419,Ayala Land — Warehouse rent,October warehouse,Operating,85000,0,3070810,Pending
"Oct 8, 2026",Transfer,,Transfer Operating → Payroll,,Operating,255000,0,2815810,Posted
"Oct 8, 2026",Transfer,,Transfer Operating → Payroll,,Payroll,0,255000,3070810,Posted
"Oct 13, 2026",Check,#1119,Staff payroll — 1st half October,Semi-monthly payroll,Payroll,126400,0,2944410,Pending
"Oct 22, 2026",Check,#4420,Meralco,October warehouse power,Operating,18400,0,2926010,Pending
"Oct 27, 2026",Check,#1120,Staff payroll — 2nd half October,Semi-monthly payroll,Payroll,126400,0,2799610,Pending
"Nov 1, 2026",Check,#4421,Ayala Land — Warehouse rent,November warehouse,Operating,85000,0,2714610,Pending
"Nov 8, 2026",Transfer,,Transfer Operating → Payroll,,Operating,280000,0,2434610,Posted
"Nov 8, 2026",Transfer,,Transfer Operating → Payroll,,Payroll,0,280000,2714610,Posted
"Nov 13, 2026",Check,#1121,Staff payroll — 1st half November,Semi-monthly payroll,Payroll,126400,0,2588210,Pending
"Nov 22, 2026",Check,#4422,Meralco,November warehouse power,Operating,17650,0,2570560,Pending
"Nov 27, 2026",Check,#1122,Staff payroll — 2nd half November,Semi-monthly payroll,Payroll,126400,0,2444160,Pending
"Dec 1, 2026",Check,#4423,Ayala Land — Warehouse rent,December warehouse,Operating,85000,0,2359160,Pending
"Dec 5, 2026",Transfer,,Transfer Operating → Payroll (13th month),,Operating,260000,0,2099160,Posted
"Dec 5, 2026",Transfer,,Transfer Operating → Payroll (13th month),,Payroll,0,260000,2359160,Posted
"Dec 8, 2026",Transfer,,Transfer Operating → Payroll,,Operating,280000,0,2079160,Posted
"Dec 8, 2026",Transfer,,Transfer Operating → Payroll,,Payroll,0,280000,2359160,Posted
"Dec 12, 2026",Check,#1125,Staff payroll — 13th month,13th month pay (PD 851),Payroll,252800,0,2106360,Pending
"Dec 13, 2026",Check,#1123,Staff payroll — 1st half December,Semi-monthly payroll,Payroll,126400,0,1979960,Pending
"Dec 19, 2026",Cash Sale,RCPT-2026-025,Walk-in — Christmas bazaar,Harbor Point Christmas market.,Operating,0,24800,2004760,Posted
"Dec 22, 2026",Check,#4424,Meralco,December warehouse power,Operating,22100,0,1982660,Pending
"Dec 27, 2026",Check,#1124,Staff payroll — 2nd half December,Semi-monthly payroll,Payroll,126400,0,1856260,Pending
